Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Santa Rita Express Branch Library,,,,Laredo,9565685952,,,,,,,,,,,,,,,,,,,,,,,
Barbara Fasken Branch Library,,,,Laredo,9567952400,,,,,,,,,,,,,,,,,,,,,,,
MOS Branch Library,,,,Laredo,9567952400,,,,,,,,,,,,,,,,,,,,,,,
Helen Hall Library,"1,24,530",10-01-2019,09/30/2020,League City,2815541111,"$1,784,358","$162,901","$97,158","$2,200,035","$2,413,783",Yes,Yes,"82,579","11,404","54,853","19,874","1,84,600","1,08,837","26,085","1,46,359","1,22,645","4,37,527",Yes,46,"21,799",0,"2,188",39
Leon Valley Public Library,"12,306",10-01-2019,09/30/2020,Leon Valley,2106840720,"$330,058","$13,675","$2,279","$472,459","$475,511",Yes,Yes,"38,034","1,365","16,238","3,354","63,519","22,719","3,639","8,278","1,334","20,195",Yes,11,"4,061","7,903","1,058",38
Hockley County Memorial Library,"21,596",01-01-2020,12/31/2020,Levelland,8068946750,"$163,959","$11,142","$4,000",$0,"$212,259",Yes,Yes,"29,074","1,041","21,068","2,353","54,504","4,857","4,479","9,539","5,106","20,104",Yes,11,"1,902",0,"1,838",46
Lewisville Public Library,"1,46,169",10-01-2019,09/30/2020,Lewisville,9722193570,"$1,794,628","$228,033","$180,387","$2,715,697","$2,718,190",Yes,Yes,"1,33,426","10,195","50,784","41,865","2,57,575","1,58,996","51,865","1,50,821","65,418","4,22,042",Yes,70,"21,589","1,94,047","1,308",23
Liberty Municipal Library,"9,314",10-01-2019,09/30/2020,Liberty,9363368901,"$303,260","$29,719","$1,500","$469,490","$479,800",Yes,Yes,"48,842","1,103","18,196","1,603","72,150","15,069","7,978","12,154","4,717","26,321",Yes,23,"2,134","22,738","1,062",22
Lamb County Library,"7,772",10-01-2019,09/30/2020,Littlefield,8063855223,"$112,419","$25,050",$0,$0,"$246,687",Yes,Yes,"12,300","1,350",0,0,"15,128","68,500","8,431","21,100",0,"23,675",Yes,7,"35,500",0,"2,075",52
Livingston Municipal Library,"5,242",10-01-2019,09/30/2020,Livingston,9363274252,"$321,987","$24,360","$4,429","$445,861","$466,250",Yes,Yes,"17,971",887,"18,196","1,603","40,179","23,198","7,200","17,921","5,606","27,790",Yes,12,"4,000",0,"1,808",38
Llano County Library System,"21,795",10-01-2019,09/30/2020,Llano,3252475248,"$399,724","$31,830","$2,700","$7,246","$482,951",Yes,Yes,"38,971","2,779","16,415","4,245","72,469","69,441","2,846","73,679","9,416","1,01,205",Yes,42,"5,212",0,"1,984",45
Lakeshore Branch Library,,,,Buchanan Dam,3253791174,,,,,,,,,,,,,,,,,,,,,,,
Kingsland Branch Library,,,,Kingsland,3253883170,,,,,,,,,,,,,,,,,,,,,,,
Dr Eugene Clark Library,"14,133",10-01-2019,09/30/2020,Lockhart,5123983223,"$394,693","$16,432","$10,000","$481,179","$500,179",Yes,Yes,"36,727","1,489","14,987","3,647","59,368","8,144","20,588","26,010","3,566","49,266",Yes,27,"2,130",0,"1,540",28
Longview Public Library,"99,178",10-01-2019,09/30/2020,Longview,9032371350,"$1,146,013","$84,207","$98,672","$1,845,181","$1,903,874",Yes,Yes,"1,30,022","4,715","35,187","25,576","2,10,142","97,114","63,058","93,968","53,701","2,50,792",Yes,79,"14,442",0,"2,463",46
Broughton Branch Library,,,,Longview,9032371326,,,,,,,,,,,,,,,,,,,,,,,
Ethel L Whipple Memorial Library,"11,082",10-01-2019,09/30/2020,Los Fresnos,9562335330,"$112,999","$6,517","$1,500","$152,053","$165,378",Yes,Yes,"26,139",119,"28,840","3,638","59,823","13,205","3,897","3,033","1,125","7,184",Yes,13,"2,149","3,537","1,618",40
Lubbock Public Library,"2,90,964",10-01-2019,09/30/2020,Lubbock,8067752824,"$2,337,750","$204,485","$100,423","$3,814,494","$4,012,254",Yes,Yes,"3,53,085","12,470","12,740","5,895","4,15,603","2,78,057","1,74,462","3,11,472","1,92,784","7,55,169",Yes,35,"28,832","2,47,562","2,948",44
Godeke Branch Library,,,,Lubbock,8067753362,,,,,,,,,,,,,,,,,,,,,,,
Patterson Branch Library,,,,Lubbock,8067673300,,,,,,,,,,,,,,,,,,,,,,,
Groves Branch Library,,,,Lubbock,8067673734,,,,,,,,,,,,,,,,,,,,,,,
Kurth Memorial Library,"35,021",10-01-2019,09/30/2020,Lufkin,9366300560,"$524,272","$66,898","$29,286","$674,909","$674,909",Yes,Yes,"99,518","3,082","12,340",569,"1,20,636","59,813","26,444","64,753","6,070","1,05,567",Yes,28,"5,076",0,"2,184",45
JB Nickells Memorial Library,"5,869",04-01-2019,03/31/2020,Luling,8308752813,"$74,155","$17,173","$3,411","$132,654","$136,609",Yes,Yes,"18,461",161,"18,415","4,458","44,198","10,084","3,453","7,828",0,"9,214",Yes,9,"2,288",0,"1,955",52
Lytle Public Library,"6,051",10-01-2019,09/30/2020,Lytle,8307094142,"$132,322","$16,925",$0,"$185,000","$202,503",Yes,Yes,"25,470","1,484",0,0,"29,252","9,284","3,455","7,497",0,"12,894",Yes,14,"2,069",0,888,24
Madison County Library,"11,822",10-01-2019,09/30/2020,Madisonville,9363486118,"$219,885","$16,980",$0,$0,"$266,260",Yes,Yes,"18,937",741,0,0,"21,213","8,159","3,126","6,000",0,"12,000",Yes,16,"2,860",0,"1,576",48
Mansfield Public Library,"72,419",10-01-2019,09/30/2020,Mansfield,8177283690,"$837,144","$43,725","$27,042","$1,027,510","$1,046,748",Yes,Yes,"59,091","2,387","21,023","26,134","1,14,490","83,029","33,436","65,989","54,099","2,21,720",Yes,28,"11,036","63,563","1,862",43
Marfa Public Library,"1,974",10-01-2019,09/30/2020,Marfa,4327294631,"$128,037",$150,$0,"$188,365","$244,397",Yes,Yes,"13,819",513,"6,295",125,"25,046","8,196","4,001","13,205",0,"15,204",Yes,6,772,0,948,23
Pauline and Jane Chilton Memorial Marlin Public Library,"5,581",10-01-2019,09/30/2020,Marlin,2548836602,"$25,981","$4,520",$0,"$20,250","$37,594",Yes,Yes,"15,874",506,0,0,"16,420","2,543","1,197","2,373",0,"2,958",Yes,8,840,0,864,43
Marshall Public Library,"58,941",01-01-2020,12/31/2020,Marshall,9039354465,"$254,633","$57,742","$26,731","$429,169","$524,387",Yes,Yes,"50,787","1,237","28,700","6,016","88,472","65,454","17,910","18,812","7,048","39,055",Yes,18,"5,533",0,"1,722",37
Mason County M Beven Eckert Memorial Library,"4,274",01-01-2020,12/31/2020,Mason,3253475446,"$98,553","$10,913","$5,712",$0,"$142,393",Yes,Yes,"13,737",801,"9,667","2,242","31,576","15,995","2,184","15,719","3,302","20,685",Yes,16,"1,212",0,"1,344",39
Motley County Library,"1,200",10-01-2019,09/30/2020,Matador,8063472717,"$24,030","$8,658",$800,"$5,500","$48,698",Yes,Yes,"12,548",289,"5,718","1,464","22,146","3,520",942,"1,436",432,"13,050",Yes,9,726,0,"1,012",44
Mathis Public Library,"6,977",01-01-2020,12/31/2020,Mathis,3615476201,"$21,545",$929,$52,"$26,100","$42,426",Yes,Yes,"18,211",47,0,0,"18,613","1,018","9,159",889,0,"1,421",Yes,12,337,0,464,23
McAllen Public Library,"2,18,448",10-01-2019,09/30/2020,McAllen,9566813000,"$3,290,021","$135,287","$45,174","$4,442,303","$4,479,546",Yes,Yes,"2,92,350","7,989","19,355","4,822","3,42,347","3,32,351","1,09,869","1,68,948","63,167","4,13,884",Yes,224,"50,276","5,13,778","3,723",46
Lark Branch Library,,,,McAllen,9566813100,,,,,,,,,,,,,,,,,,,,,,,
Palm View Branch Library,,,,McAllen,9566813110,,,,,,,,,,,,,,,,,,,,,,,
Upton County Public Library,"1,673",01-01-2020,12/31/2020,McCamey,4326528718,"$80,855","$7,881",$0,$0,"$91,948",Yes,Yes,"18,103","1,498",0,0,"19,601","28,150","1,900","8,800",0,"16,179",Yes,7,"6,970",0,"1,800",48
McKinney Public Library System,"1,99,177",10-01-2019,09/30/2020,McKinney,9725477323,"$2,876,232","$284,370","$84,376","$3,508,645","$3,508,645",Yes,Yes,"1,81,843","9,388","11,239","4,553","2,30,720","2,35,024","93,981","4,63,796","1,88,180","12,21,067",Yes,46,"34,300",0,"3,008",47
John and Judy Gay Library,,,,McKinney,9725477323,,,,,,,,,,,,,,,,,,,,,,,
Lovett Memorial Library McLean,914,10-01-2019,09/30/2020,McLean,8067792851,"$48,580","$8,693",$682,"$64,410","$73,687",Yes,Yes,"11,913",522,"5,718","1,464","21,893","2,204",403,"3,279","13,868","49,394",Yes,5,460,"1,205","1,096",40
Memphis Public Library,"2,964",10-01-2019,09/30/2020,Memphis,8062592062,"$46,780","$7,000",$115,"$64,844","$65,394",Yes,Yes,"19,916",722,"5,718","1,464","27,823","7,500","1,430","2,745",518,"5,107",Yes,6,815,778,"1,560",19
Menard Public Library,"2,138",10-01-2019,09/30/2020,Menard,3253962717,"$43,614","$4,761",$0,"$10,000","$89,093",Yes,Yes,"9,501",312,"80,000",0,"91,221","3,200","1,513","4,252",52,"5,524",Yes,8,950,0,672,21
Dr Hector P Garcia Memorial Library,"25,317",10-01-2019,09/30/2020,Mercedes,9565652371,"$312,075","$13,922",$0,"$398,318","$416,027",Yes,Yes,"30,927",90,"9,761","11,222","53,610","29,748","13,253","5,495",773,"8,435",Yes,47,"7,347",0,"1,763",25
MB Noelke Jr Memorial Library,"1,536",10-01-2019,09/30/2020,Mertzon,3258352704,"$20,719","$6,051","$1,500",$0,"$41,859",Yes,Yes,"11,205",535,"1,000",0,"12,802","1,853",434,854,369,"1,592",Yes,3,"1,783","1,783","4,940",52
Mesquite Public Library,"1,40,937",10-01-2019,09/30/2020,Mesquite,9722166220,"$1,483,764","$90,235","$34,035","$2,233,654","$2,236,962",Yes,Yes,"1,78,744","4,531","31,418","12,424","2,38,194","1,34,263","24,988","81,692","48,416","2,26,782",Yes,52,"36,996","37,078","2,267",40
Mesquite Public Library-North Branch,,,,Mesquite,9726810465,,,,,,,,,,,,,,,,,,,,,,,
Gibbs Memorial Library,"14,841",10-01-2019,09/30/2020,Mexia,2545623231,"$141,982","$23,222","$2,000","$167,436","$228,522",Yes,Yes,"7,875",158,"20,237","5,180","34,262","12,798","2,386","6,682","5,01,834","6,54,153",Yes,17,"2,905",0,"2,078",48
Midland County Public Library,"1,76,832",10-01-2019,09/30/2020,Midland,4326884320,"$2,908,528","$158,771","$137,938",$0,"$3,565,882",Yes,Yes,"2,34,265","10,105","41,979","9,403","3,14,288","1,33,093","47,472","1,25,311","45,379","3,09,060",Yes,98,"23,197","1,30,183","1,946",43
Midland Centennial Branch Library,,,,Midland,4327427400,,,,,,,,,,,,,,,,,,,,,,,
Midland County Library Bookmobile,,,,Midland,4326884338,,,,,,,,,,,,,,,,,,,,,,,
Mineola Memorial Library,"10,111",01-01-2020,12/31/2020,Mineola,9035692767,"$116,713","$28,701","$1,083",$0,"$224,779",Yes,Yes,"23,831","1,774",281,23,"27,720","8,448","4,179","13,635",534,"23,428",Yes,4,"3,050","5,004","1,462",43
Mineola Memorial Library Bookmobile,,,,Mineola,9035692767,,,,,,,,,,,,,,,,,,,,,,,
Boyce Ditto Public Library,"29,382",10-01-2019,09/30/2020,Mineral Wells,9403287880,"$255,560","$27,349","$3,000","$336,619","$379,992",Yes,Yes,"32,695",912,"21,981","7,912","67,962","37,853","9,281","24,549","5,295","41,971",Yes,10,"3,553",0,"1,718",43
Speer Memorial Library,"1,28,584",10-01-2019,09/30/2020,Mission,9565808750,"$921,397","$60,338","$5,194","$1,253,377","$1,254,406",Yes,Yes,"1,27,115","5,151","9,761","11,222","1,60,035","96,853","3,395","36,342","6,479","58,242",Yes,283,"32,908","89,211","3,023",42
Ward County Library,"11,998",01-01-2020,12/31/2020,Monahans,4329433332,"$318,086","$22,935",$291,$0,"$344,312",Yes,Yes,"58,626","1,229",0,0,"64,084","8,319","4,682","6,928",0,"10,633",Yes,12,"3,308",0,"2,127",46
Barstow Library,,,,Barstow,4324455205,,,,,,,,,,,,,,,,,,,,,,,
Grandfalls Library,,,,Grandfalls,4325472861,,,,,,,,,,,,,,,,,,,,,,,
Cochran County Love Memorial Library,"2,853",01-01-2020,12/31/2020,Morton,8062665051,"$62,760","$11,756","$1,500",$0,"$87,131",Yes,Yes,"13,694",169,"17,386","2,175","33,489","6,000","1,554","1,365",30,"2,886",Yes,8,"1,503",0,"1,750",52
Mount Calm Public Library,339,04-01-2019,03/31/2020,Mount Calm,2549932761,"$24,205","$5,405",$0,"$5,100","$21,027",Yes,Yes,"11,229",0,0,0,"12,570","2,100",274,"3,372",0,"4,137",Yes,8,337,0,987,47
Mount Pleasant Public Library,"15,978",10-01-2019,09/30/2020,Mt Pleasant,9035754180,"$301,770","$29,040","$5,947","$434,286","$441,334",Yes,Yes,"26,428","1,655","28,518","6,177","65,641","31,234","16,843","27,519","7,722","60,051",Yes,33,"6,647",0,"1,892",42
Franklin County Library,"10,725",01-01-2020,12/31/2020,Mt Vernon,9035374916,"$157,455","$13,190","$17,232","$17,500","$198,668",Yes,Yes,"14,082",302,"29,431","6,216","52,210","23,697","6,034","14,436","4,232","22,635",Yes,7,"2,763",0,"1,692",41
Muenster Public Library,"3,224",10-01-2019,09/30/2020,Muenster,9407594291,"$15,278","$8,998",$600,"$18,000","$67,000",Yes,Yes,"19,828",962,"19,940","3,776","45,962","6,455","2,322","8,389","1,688","14,966",Yes,8,"1,988",0,"1,243",48
Muleshoe Area Public Library,"5,019",10-01-2019,09/30/2020,Muleshoe,8062724707,"$166,065","$14,326","$1,885","$203,346","$205,492",Yes,Yes,"15,207",445,"23,092","2,235","41,623","15,896","2,128","16,171","2,245","22,495",Yes,6,"1,440","1,678","2,258",52
Munday City-County Library,"3,664",01-01-2020,12/31/2020,Munday,9404224877,"$3,265",$597,$0,"$2,750","$17,012",Yes,Yes,"8,831",0,0,0,"8,831",397,279,806,0,980,Yes,3,45,0,549,41
Judy B McDonald Public Library,"32,877",10-01-2019,09/30/2020,Nacogdoches,9365592970,"$379,458","$34,491","$43,925","$536,497","$567,358",Yes,Yes,"96,932","4,348","4,853",934,"1,10,452","44,235","43,341","32,998","21,785","81,989",Yes,6,"10,700",0,"1,302",23
Navasota Public Library,"27,277",10-01-2019,09/30/2020,Navasota,9368256744,"$67,476","$6,023",$0,"$23,500","$35,000",Yes,Yes,"35,886",142,"22,265","5,590","65,059","10,848","13,028","5,638","1,271","9,059",Yes,14,"1,831",0,"2,091",50
Marion & Ed Hughes Public Library,"17,371",10-01-2019,09/30/2020,Nederland,4097221255,"$353,994","$31,107","$17,133","$498,856","$548,864",Yes,Yes,"73,817","3,912","47,551","20,093","1,57,284","21,774","3,415","18,612","9,116","47,982",Yes,11,"2,475","47,820","1,004",25
New Boston Public Library,"4,609",10-01-2019,09/30/2020,New Boston,9036285414,"$72,796","$19,120","$1,945","$133,704","$170,620",Yes,Yes,"22,095","1,521","6,468",125,"32,589","12,225","6,344","6,845",232,"10,336",Yes,5,600,0,"1,204",45
New Braunfels Public Library,"90,309",10-01-2019,09/30/2020,New Braunfels,8302214300,"$1,700,701","$111,036","$82,945","$2,334,164","$2,394,756",Yes,Yes,"1,03,189","8,144","1,55,389","44,626","3,29,155","1,46,092","46,884","2,37,036","1,28,372","6,79,997",Yes,45,"24,900","77,200","2,267",42
Westside Community Center Library,,,,New Braunfels,8302214301,,,,,,,,,,,,,,,,,,,,,,,
RIOmobile,,,,New Braunfels,8302214318,,,,,,,,,,,,,,,,,,,,,,,
Newton County Public Library,"13,595",01-01-2020,12/31/2020,Newton,4093798300,"$130,995","$9,140","$1,500",$0,"$159,244",Yes,Yes,"20,268",425,"18,844","2,168","44,334","25,984","6,102","4,611","1,186","7,195",Yes,19,"1,597",0,"1,720",46
Deweyville Branch Library,,,,Deweyville,4097460222,,,,,,,,,,,,,,,,,,,,,,,
Nocona Public Library,"7,330",10-01-2019,09/30/2020,Nocona,9408256373,"$34,795","$4,898","$1,500","$60,239","$63,989",Yes,Yes,"23,721","1,087","10,036",566,"38,088","5,854","5,440","3,996","22,175","29,594",Yes,7,"1,024",0,"1,681",44
North Richland Hills Public Library,"70,670",10-01-2019,09/30/2020,North Richland Hills,8174276800,"$1,653,826","$160,549","$57,937","$1,999,245","$2,067,231",Yes,Yes,"1,26,548","7,370","1,54,657","49,042","3,49,310","1,43,376","39,153","4,63,827","64,097","6,50,863",Yes,41,"15,279","2,43,578","2,558",43
Ector County Library,"1,66,223",10-01-2019,09/30/2020,Odessa,4323320633,"$1,277,616","$110,645","$14,060",$0,"$1,588,115",Yes,Yes,"2,47,581","5,308","17,996","2,221","2,85,052","1,34,429","1,23,855","2,17,240","13,975","2,72,809",Yes,29,"13,218",0,"2,163",44
Olney Community Library and Arts Center,"9,388",09-01-2019,08/31/2020,Olney,9405645513,"$177,774","$10,882","$3,227","$30,000","$253,048",Yes,Yes,"32,526",833,"9,812",667,"45,192","28,532","2,303","4,432","24,340","35,316",Yes,10,"1,354",0,"1,715",38
Orange Public Library,"18,118",10-01-2019,09/30/2020,Orange,4098831086,"$411,642","$24,204","$4,541","$548,384","$550,588",Yes,Yes,"72,268","1,481","24,491","1,728","1,02,125","32,231","14,089","15,348","3,222","27,540",Yes,7,"1,988",0,"1,383",35
Crockett County Public Library,"3,464",01-01-2020,12/31/2020,Ozona,3253923565,"$199,778","$26,220","$5,801",$0,"$254,577",Yes,Yes,"15,862","2,066","14,250","2,852","35,218","4,505","2,808","6,793",591,"8,616",Yes,13,"1,030",0,"1,045",28
Bicentennial City-County Library,"1,398",08-01-2019,07/31/2020,Paducah,8064922006,"$9,982",$297,$0,"$8,500","$27,285",Yes,Yes,"7,492",487,"6,295",125,"14,959",229,764,350,13,386,Yes,4,41,0,600,25
Palacios Library Inc,"10,297",01-01-2020,12/31/2020,Palacios,3619723234,"$89,377","$12,964",$0,"$30,000","$177,884",Yes,Yes,"39,783",774,130,0,"42,453",0,"7,585","2,944",32,"4,554",Yes,15,"2,416",537,"1,819",45
Blessing Library,,,,Blessing,3615887717,,,,,,,,,,,,,,,,,,,,,,,
Palestine Public Library,"42,008",10-01-2019,09/30/2020,Palestine,9037294121,"$327,231","$32,035","$7,866","$441,707","$442,281",Yes,Yes,"84,824","3,152","3,174",482,"97,358","29,321","4,997","40,857","3,420","63,956",Yes,26,"6,701",0,"1,696",42
Lovett Memorial Library Pampa,"20,972",10-01-2019,09/30/2020,Pampa,8066695780,"$282,307","$28,668","$6,427","$354,056","$383,448",Yes,Yes,"37,258","1,940","5,654","1,431","50,858","12,501","3,671","16,489","1,977","26,129",Yes,8,"2,018","19,784","1,925",43
Carson County Public Library,"5,926",10-01-2019,09/30/2020,Panhandle,8065373742,"$230,891","$10,977",$0,$0,"$272,274",Yes,Yes,"36,406","1,160","5,718","1,464","46,495","12,365","1,202","14,694",407,"21,441",Yes,9,"2,199","3,712","1,533",46
Groom Branch Library,,,,Groom,8062487353,,,,,,,,,,,,,,,,,,,,,,,
Skellytown Branch Library,,,,Skellytown,8068482551,,,,,,,,,,,,,,,,,,,,,,,
White Deer Branch Library,,,,White Deer,8068837121,,,,,,,,,,,,,,,,,,,,,,,
Paris Public Library,"24,847",10-01-2019,09/30/2020,Paris,9037858531,"$508,877","$47,881","$33,405","$710,488","$729,127",Yes,Yes,"70,701","5,749","1,23,671","12,618","2,16,121","39,964","8,424",0,"9,754","34,521",Yes,11,"4,246","5,088","2,475",45
Pasadena Public Library,"1,51,227",10-01-2019,09/30/2020,Pasadena,7134770276,"$2,535,727","$88,466","$154,224","$3,529,591","$3,530,276",Yes,Yes,"98,902","2,588","90,624","23,742","2,29,306","94,045","39,590","58,475","25,207","1,41,001",Yes,121,"25,640","49,730","1,510",31
Fairmont Branch Library,,,,Pasadena,2819981095,,,,,,,,,,,,,,,,,,,,,,,
Pearsall Public Library,"10,609",10-01-2019,09/30/2020,Pearsall,8303342496,"$178,759","$15,012","$1,500","$247,282","$247,282",Yes,Yes,"37,609",0,"16,140","3,173","59,310","24,115","5,228","1,608",704,"4,078",Yes,16,"1,826",0,"1,116",25
Perry Memorial Library,"9,836",10-01-2019,09/30/2020,Perryton,8064355801,"$268,145","$20,870","$2,000",$0,"$312,599",Yes,Yes,"35,460","1,365","5,718","1,464","45,722","7,813","2,884","14,167",984,"19,606",Yes,8,"1,706","1,461","1,674",38
Pharr Memorial Library,"1,20,626",10-01-2019,09/30/2020,Pharr,9564024650,"$1,175,300","$109,275","$8,225","$1,711,400","$1,727,263",Yes,Yes,"76,788","1,345","9,761","11,222","1,02,120","1,33,213","77,985","71,496",37,"1,08,213",Yes,123,0,0,"3,018",48
Pharr Development and Research Center,,,,Pharr,9564024651,,,,,,,,,,,,,,,,,,,,,,,
Pilot Point Community Library,"6,072",10-01-2019,09/30/2020,Pilot Point,9406865004,"$149,115","$6,484","$1,000","$178,375","$199,034",Yes,Yes,"18,775",295,"9,997",581,"31,820","7,364","3,486","5,202",615,"10,197",Yes,4,805,0,"1,364",41
Arthur Temple Sr Memorial Library,800,01-01-2020,12/31/2020,Pineland,4095842546,"$113,198","$8,554","$1,846","$4,000","$186,348",Yes,Yes,"17,358","1,292","89,373","2,612","1,12,511","13,144","3,299","6,900","2,487","11,685",Yes,10,943,0,"1,407",40
Pittsburg-Camp County Public Library,"13,094",10-01-2019,09/30/2020,Pittsburg,9038563302,"$128,858","$14,604","$1,503","$91,501","$197,595",Yes,Yes,"24,524","1,174","23,251",71,"50,517","29,848","8,677","26,730","2,357","40,049",Yes,11,"9,958",0,"1,985",48
Yoakum County Library,"3,406",01-01-2020,12/31/2020,Plains,8064568725,"$153,339","$18,591",$0,$0,"$187,601",Yes,Yes,"35,328","1,704","6,295",125,"46,965","18,568","1,334","25,130",138,"28,951",Yes,11,"11,719","4,337","1,862",43
Unger Memorial Library,"30,315",10-01-2019,09/30/2020,Plainview,8062961148,"$272,569","$46,834","$2,039","$450,108","$473,435",Yes,Yes,"45,608","1,713","21,627","2,772","74,585","29,454","37,135","5,108","3,586","11,639",Yes,14,"3,884",0,"2,307",42
Plano Public Library System,"2,87,677",10-01-2019,09/30/2020,Plano,9727694208,"$10,129,947","$550,934","$602,909","$12,281,629","$12,324,363",Yes,Yes,"5,69,268","26,446","51,236","15,022","7,39,184","6,61,086","1,90,504","7,58,347","14,14,782","34,71,426",Yes,196,"68,536","7,06,985","2,624",41
LER Schimelpfenig Library,,,,Plano,9727694200,,,,,,,,,,,,,,,,,,,,,,,
Gladys Harrington Library,,,,Plano,9729417175,,,,,,,,,,,,,,,,,,,,,,,
Maribelle M Davis Library,,,,Plano,9722088000,,,,,,,,,,,,,,,,,,,,,,,
Christopher A Parr Library,,,,Plano,9727694300,,,,,,,,,,,,,,,,,,,,,,,
Pleasanton Public Library,"24,008",10-01-2019,09/30/2020,Pleasanton,8305695901,"$229,271","$12,679","$11,235","$309,287","$317,787",Yes,Yes,"35,763","1,383","15,393","3,272","60,610","16,546","9,678","14,799","4,143","28,079",Yes,16,"4,588",0,"2,052",48
William R Bill Ellis Memorial Library,"4,266",10-01-2019,09/30/2020,Port Aransas,3617494116,"$232,922","$2,014","$3,000","$243,887","$245,983",Yes,Yes,"7,272",185,"20,871","3,224","32,582","4,516","5,761","3,638","3,026","7,221",Yes,4,424,0,"1,171",28
Port Arthur Public Library,"54,280",10-01-2019,09/30/2020,Port Arthur,4099858838,"$936,166","$118,836","$12,227","$1,252,330","$1,252,330",Yes,Yes,"46,452","2,780","47,212","20,093","1,20,021","69,447","2,667","5,489","5,445","16,163",Yes,41,"7,820","5,218","1,940",32
Port Isabel Public Library,"8,846",10-01-2019,09/30/2020,Port Isabel,9569431822,"$85,028","$5,643",$799,"$150,778","$155,870",Yes,Yes,"28,091",669,"13,127","4,745","49,132","19,250","23,990","6,095","28,195","36,942",Yes,39,"1,825",0,"1,029",16
Calhoun County Public Library,"21,290",01-01-2020,12/31/2020,Port Lavaca,3615527323,"$415,402","$45,953","$13,440",$0,"$615,701",Yes,Yes,"78,044","1,445","79,007","3,479","1,68,480","42,503","5,739","21,227","5,960","41,503",Yes,59,"4,253","51,510","1,594",39
Point Comfort Branch Library,,,,Point Comfort,3619872954,,,,,,,,,,,,,,,,,,,,,,,
Port O`Connor Branch Library,,,,Port O'Connor,3619834365,,,,,,,,,,,,,,,,,,,,,,,
Seadrift Branch Library,,,,Seadrift,3617854241,,,,,,,,,,,,,,,,,,,,,,,
Effie & Wilton Hebert Public Library,"12,655",10-01-2019,09/30/2020,Port Neches,4097224554,"$480,787","$35,516","$13,672","$606,600","$666,805",Yes,Yes,"43,931","1,263","47,334","20,243","1,16,075","58,478","5,637","10,430","4,850","26,354",Yes,14,"2,714","10,357","1,718",29
Bell/Whittington Public Library,"17,268",10-01-2019,09/30/2020,Portland,3617774560,"$359,987","$27,082","$41,443","$510,202","$533,067",Yes,Yes,"35,921","2,755","20,860","3,340","67,580","37,508","26,848","78,496","43,962","1,40,193",Yes,20,"4,907",0,"1,313",24
Post Public Library,"3,192",10-01-2019,09/30/2020,Post,8069902149,"$69,177","$13,528","$1,500","$112,043","$112,043",Yes,Yes,"14,405","1,159","64,495","17,245","97,607","21,100","1,000","7,878","2,325","13,587",Yes,9,"1,906",0,"1,166",46
Poteet Public Library,"7,757",10-01-2019,09/30/2020,Poteet,8307428917,"$83,673","$7,313",$0,"$126,535","$134,789",Yes,Yes,"12,118",268,0,0,"12,945","3,843","4,925","2,385",0,"2,732",Yes,11,"1,025",0,"1,528",39
Thompson Sawyer Public Library,"3,933",01-01-2020,12/31/2020,Quanah,9406632654,"$21,511","$5,070",$0,"$5,500","$40,892",Yes,Yes,"21,590",706,0,0,"23,025","1,952","1,312","1,034",0,"1,515",Yes,5,322,0,912,41
Quemado Public Library,"14,359",10-01-2019,09/30/2020,Quemado,8307571313,"$22,055",$524,$0,$0,"$30,635",Yes,Yes,"9,626",476,0,0,"10,893","2,432",911,670,0,"1,100",Yes,9,"1,260",0,720,24
Quitman Public Library,"6,340",10-01-2019,09/30/2020,Quitman,9037634191,"$87,492","$2,362","$1,500","$116,934","$124,934",Yes,Yes,"26,610",665,"24,135","2,155","55,611","12,600","8,624","11,277","2,852","24,512",Yes,7,"9,775",0,"1,536",48
Rankin Public Library,"1,984",01-01-2020,12/31/2020,Rankin,4326932881,"$88,657","$12,892",$0,$0,"$107,840",Yes,Yes,"23,704",678,0,0,"24,722","18,751","1,290","8,167",0,"12,385",Yes,8,"4,910",0,"1,800",48
Midkiff Public Library,,,,Midkiff,4325352311,,,,,,,,,,,,,,,,,,,,,,,
Dennis M O'Connor Public Library,"6,948",10-01-2019,09/30/2020,Refugio,3615262608,"$99,449","$6,350","$1,123",$0,"$122,936",Yes,Yes,"15,143",378,"17,625","3,587","37,762","7,542","1,279","5,761",798,"7,987",Yes,6,903,0,"1,996",45
Richardson Public Library,"1,21,323",10-01-2019,09/30/2020,Richardson,9727444350,"$3,064,117","$308,418","$197,068","$3,735,945","$3,764,296",Yes,Yes,"2,39,799","16,181","14,784","12,069","3,07,214","2,22,349","45,284","3,23,200","85,903","9,74,348",Yes,38,"15,673","4,22,075","2,155",23
